date,locality,state,type,claims,size_mean,arrests
2012-01-01,Oakland,CA,demonstration,Racial profiling; Stop racial profiling; Hold police accountable for brutality; Justice for Oscar Grant; Stop police brutality; Racial discrimination; Police brutality; Racial justice,100.0,0
2012-01-06,Stockton,CA,demonstration,Investigation of police shootings; Law enforcement accountability; Justice for James Rivera Jr.; Justice for Ernest Duenez Jr.; Police violence,,0
2012-01-07,Garfield,NJ,demonstration,Justice for Malik Williams; Investigate police shooting; Police brutality; End to police violence; Police accountability; Thorough police shooting investigation,,0
2012-01-07,New York,NY,demonstration,End Stop-and-Frisk Practices; Address Racial Discrimination in Policing; Police Accountability; Racial Profiling; Police Brutality,,0
2012-01-12,Oshkosh,WI,demonstration,Political recall; Recall of Governor Scott Walker,,2
2012-01-14,Garfield,NJ,demonstration,Grand jury review; Stop police brutality; Police brutality; Grand jury review of shooting; Police use of deadly force; Police accountability,70.0,0
2012-01-14,Oakland,CA,demonstration,Police misconduct; Protest police harassment; Stop police harassment; Occupy movement; Police accountability,125.0,2
2012-01-14,Seattle,WA,demonstration,Police brutality; Oust Police Chief John Diaz; Police accountability; Eliminate police,75.0,0
2012-01-28,Oakland,CA,demonstration,Occupy Wall Street movement; Shut down Port of Oakland; Take over City Hall; Occupy airport; Use vacant building as social center,400.0,400
2012-02-02,Calumet City,IL,demonstration,Mayor's resignation; Disability rights; Police chief resignation; Police brutality; Racial injustice; Investigation of Stephon Watts' shooting,,0
2012-02-04,Newark,NJ,demonstration,Police accountability; Expose government corruption; Digital activism,,0
2012-02-04,Oakland,CA,demonstration,"Challenge economic inequality; End the war in Oakland; economic justice; Police brutality; Economic justice; End police accountability issues; police accountability; No justice, no peace; Economic inequality; Police accountability; End police violence; End police confrontations",150.0,0
2012-02-04,Washington,DC,demonstration,Economic inequality; Protest rights; Challenge economic inequality,,8
2012-02-05,Bronx,NY,demonstration,Police violence; Justice for Ramarley Graham; Racial discrimination; Police Commissioner resignation,,0
2012-02-11,Oakland,CA,demonstration,Police misconduct; Civil rights,,2
2012-02-20,San Quentin Village,CA,demonstration,Prison system reform; Criminal justice; Prison rights; End solitary confinement,,0
2012-02-25,Oakland,CA,demonstration,police violence,75.0,0
2012-02-26,Sanford,FL,demonstration,Prosecute George Zimmerman; Police brutality; Charge George Zimmerman; Justice for Trayvon Martin; Racial justice,,0
